time,RegionID,Zipcode,City,State,Metro,CountyName,SizeRank,AveragePrice,ROI,value
1997-08-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,303800.0
1997-09-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,332900.0
1997-09-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,136400.0
1997-09-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,150900.0
1997-09-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,160700.0
1997-09-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,148500.0
1997-09-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,587100.0
1997-09-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,111400.0
1997-09-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,204500.0
1997-09-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,304900.0
1997-10-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,335800.0
1997-10-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,137200.0
1997-10-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,151800.0
1997-10-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,161700.0
1997-10-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,149400.0
1997-10-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,591900.0
1997-10-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,112400.0
1997-10-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,206100.0
1997-10-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,306200.0
1997-11-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,339000.0
1997-11-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,138300.0
1997-11-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,152800.0
1997-11-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,162800.0
1997-11-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,150800.0
1997-11-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,596900.0
1997-11-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,113400.0
